Abbr,Id,Name,Use,Address_1,Address_2,Type,Latitude,Longitude
Gradctrb,100108,Graduate Ctr B,Dormitory,44 Charlesfield St,"Providence, Ri 02912",Building,41.823567,-71.40101
Gradctrc,100176,Graduate Ctr C,Dormitory,82 Thayer St,"Providence, Ri 02912",Building,41.823629,-71.400369
Gradctrd,100206,Graduate Ctr D,Dormitory,90 Thayer St,"Providence, Ri 02912",Building,41.823124,-71.400305
Gradctre,100273,Graduate Ctr E,Admin,42 Charlesfield St,"Providence, Ri 02912",Building,41.823347,-71.400651
Grnfcac,100305,Granoff Ctr For The Creative Arts,Academic,154 Angell St,"Providence, Ri 02912",Building,41.82825,-71.40147
Grantfult,100030,Grant Fulton,Academic,105 Benevolent St,"Providence, Ri 02912",Building,41.824928,-71.396603
Harkness,100219,Harkness House: Wriston Quad,Dormitory,47 Charlesfield St,"Providence, Ri 02912",Building,41.823989,-71.400656
Hegeman,100264,Hegeman Hall,Dormitory,128 George St,"Providence, Ri 02912",Building,41.825802,-71.400814
Hemisphere,100283,Hemisphere Bldg,Admin,167 Angell St,"Providence, Ri 02912",Building,41.827827,-71.401053
Hirschfeld,100218,Hirschfeld House,Academic,163 George St,"Providence, Ri 02912",House,41.825454,-71.399184
Hopecoll,100045,Hope College,Dormitory,71 Waterman St,"Providence, Ri 02912",Building,41.826721,-71.403861
Hope170,100326,Hope St 170,Academic,170 Hope St,"Providence, Ri 02912",Building,41.826022,-71.397566
Hope190,100109,Hope St 190,Academic,190 Hope St,"Providence, Ri 02912",House,41.827378,-71.397485
Hoppin,100177,Hoppin (Thomas P.) House,Academic,383 Benefit St,"Providence, Ri 02912",House,41.821602,-71.402292
Horacemann,100207,Horace Mann House,Admin,47 George St,"Providence, Ri 02912",House,41.82507,-71.404272
Kqjmsnmead,100057,Jameson-Mead: Keeney Quad,Dormitory,11 Benevolent St,"Providence, Ri 02912",Building,41.823907,-71.403813
Jcblibrary,100008,John Carter Brown Library,Library,94 George St,"Providence, Ri 02912",Building,41.825556,-71.402453
Jhaylib,100122,John Hay Library,Library,20 Prospect St,"Providence, Ri 02912",Building,41.8264,-71.405001
John050,100148,John St 050,Academic,50 John St,"Providence, Ri 02912",Building,41.822024,-71.398752
Kassar,100192,Kassar (Edward W.) House,Academic,151 Thayer St,"Providence, Ri 02912",Building,41.825252,-71.40002
Kinghse,100238,King House,Dormitory,154 Hope St,"Providence, Ri 02912",House,41.82486,-71.397499
Lacrssoccr,100357,Lacrosse Soccer,Athletics,245 Lloyd Ave,"Providence, Ri 02912",Building,41.831592,-71.396311
Laddobserv,100250,Ladd Observatory,Academic,210 Doyle Ave,"Providence, Ri 02912",Building,41.839098,-71.399127
Lincolnfld,100284,Lincoln Field Building,Academic,180 Thayer St,"Providence, Ri 02912",Building,41.825992,-71.401289
Lippitthse,100169,Lippitt House,Academic,96 Waterman St,"Providence, Ri 02912",House,41.827371,-71.40127
Listart,100020,List (Albert & Vera) Art Building,Academic,64 College St,"Providence, Ri 02912",Building,41.826405,-71.405396
Littlefld,100046,Littlefield Hall,Dormitory,102 George St,"Providence, Ri 02912",Building,41.82563,-71.402005
Lymanhall,100110,Lyman Hall,Academic,83 Waterman St,"Providence, Ri 02912",Building,41.826557,-71.401809
Macfarlane,100178,Macfarlane House,Academic,48 College St,"Providence, Ri 02912",House,41.826214,-71.406254
Machado,100208,Machado (Antonio) House,Dormitory,87 Prospect St,"Providence, Ri 02912",Building,41.830133,-71.404781
Macmillan,100032,Macmillan Hall,Academic,167 Thayer St,"Providence, Ri 02912",Building,41.826008,-71.400069
Maddock,100058,Maddock Alumni Center,Admin,38 Brown St,"Providence, Ri 02912",House,41.825094,-71.403024
Manning,100096,Manning Hall,Academic,21 Prospect St,"Providence, Ri 02912",Building,41.826443,-71.403851
Marcyhse,100193,Marcy House: Wriston Quad,Dormitory,115 George St,"Providence, Ri 02906",Building,41.824667,-71.401265
Mrstnboat,100220,Marston Boathouse,Athletics,258 India St,"Providence, Ri 02912",Building,41.8184,-71.388752
Marstonhal,100239,Marston Hall,Academic,346 Brook St,"Providence, Ri 02912",Building,41.826641,-71.399505
Maxcy,100265,Maxcy Hall,Academic,108 George St,"Providence, Ri 02912",Building,41.825894,-71.402003
Mrl,100101,Medical Research Lab,Academic,89 Waterman St,"Providence, Ri 02912",Building,41.826745,-71.401158
Meehan,100021,Meehan Auditorium,Athletics,235 Hope St,"Providence, Ri 02912",Building,41.83138,-71.398929
Meiklejohn,100071,Meiklejohn House,Academic,159 George St,"Providence, Ri 02912",House,41.82544,-71.399395
Mencoff,100185,Mencoff Hall,Academic,68 Waterman St,"Providence, Ri 02912",Building,41.827249,-71.404063
Metcalfhal,100084,Metcalf Hall,Dormitory,98 Cushing St,"Providence, Ri 02912",Building,41.830181,-71.402729
Metrschbld,100136,Metcalf Research Building,Academic,190 Thayer St,"Providence, Ri 02912",Building,41.826721,-71.400694
Miller,100179,Miller Hall,Dormitory,118 Cushing St,"Providence, Ri 02912",Building,41.830217,-71.402209
Minden,100209,Minden Hall,Dormitory,121 Waterman St,"Providence, Ri 02912",Building,41.827217,-71.398915
Mor-Gerard,100009,Morrison-Gerard Studio,Academic,151 Hope St,"Providence, Ri 02912",Building,41.82496,-71.397008
Morrishall,100097,Morriss Hall: Pembroke Quad,Dormitory,206 Meeting St,"Providence, Ri 02912",Building,41.829969,-71.401665
Nelsonfit,100227,Nelson Fitness Center,Athletics,225 Hope St,"Providence, Ri 02912",Building,41.83013,-71.39812
Newpem1,100150,New Pembroke No. 1,Dormitory,302 Thayer St,"Providence, Ri 02912",Building,41.830115,-71.401252
Newpem2,100166,New Pembroke No. 2,Dormitory,306 Thayer St,"Providence, Ri 02912",Building,41.830455,-71.401506
Newpem3,100194,New Pembroke No. 3,Dormitory,308 Thayer St,"Providence, Ri 02912",Building,41.830627,-71.401426
Newpem4,100221,New Pembroke No. 4,Dormitory,300 Thayer St,"Providence, Ri 02912",Building,41.830339,-71.401088
Nicholson,100240,Nicholson House,Academic,71 George St,"Providence, Ri 02912",House,41.82512,-71.403287
Night-Brow,100266,Nightingale-Brown House,Academic,357 Benefit St,"Providence, Ri 02912",House,41.822468,-71.402987
Norwood,100048,Norwood House,Academic,82 Waterman St,"Providence, Ri 02912",House,41.827289,-71.402287
Olney,100033,Olney House: Wriston Quad,Dormitory,29 Brown St,"Providence, Ri 02912",Building,41.824575,-71.401957
Omac,100059,Olney-Margolies Athletic Center,Athletics,229 Hope St,"Providence, Ri 02912",Building,41.831096,-71.397279
Orwig,100010,Orwig Music Hall,Academic,1 Young Orchard Ave,"Providence, Ri 02912",House,41.824525,-71.396711
Pagerobhll,100031,Page-Robinson Hall,Admin,69 Brown St,"Providence, Ri 02912",Building,41.827475,-71.40281
Parkln010,100098,Park Lane 010,Support,10 Park Ln,"Providence, Ri 02907",Building,41.795966,-71.435812
Partridge,100151,Partridge Hall & Annex,StudentLife,68 Brown St,"Providence, Ri 02912",House,41.827197,-71.403282
Pemfldhse,100167,Pembroke Field House,Support,171 Cushing St,"Providence, Ri 02912",Building,41.829993,-71.399471
Pembroke,100195,Pembroke Hall,Academic,172 Meeting St,"Providence, Ri 02912",Building,41.829188,-71.402764
Perkins,100222,Perkins Hall,Dormitory,154 Power St,"Providence, Ri 02912",Building,41.823595,-71.396147
Pgreenhse,100252,Peter Green House,Academic,79 Brown St,"Providence, Ri 02912",House,41.828156,-71.402048
Pizzitola,100267,Pizzitola,Athletics,233 Hope St,"Providence, Ri 02912",Building,41.831708,-71.398079
Powerpark,100138,Power St Parking Garage,Support,101 Power St,"Providence, Ri 02912",Building,41.822718,-71.399334
Preshse,100085,President's House,Support,55 Power St,"Providence, Ri 02912",House,41.822674,-71.40259
Princelab,100275,Prince Engineering Lab,Academic,355 Brook St,"Providence, Ri 02912",Building,41.826793,-71.398543
Prospechse,100034,Prospect House,Academic,36 Prospect St,"Providence, Ri 02912",House,41.826737,-71.404905
Rihall,100099,Rhode Island Hall,Academic,60 George St,"Providence, Ri 02912",Building,41.825454,-71.403877
Richmnd222,100152,Richmond St 222,Academic,222 Richmond St,"Providence, Ri 02903",Building,41.818874,-71.408579
Richmnd233,100102,Richmond St 233,Admin,233 Richmond St,"Providence, Ri 02903",Building,41.818652,-71.409009
Robinson,100223,Robinson Hall,Academic,64 Waterman St,"Providence, Ri 02912",Building,41.827175,-71.40439
Rochambeau,100253,Rochambeau House,Academic,84 Prospect St,"Providence, Ri 02912",House,41.829915,-71.405642
Rocklib,100288,"Rockefeller (John D., Jr.) Library",Library,10 Prospect St,"Providence, Ri 02912",Building,41.8257,-71.405082
Salomon,100050,Salomon Ctr For Teaching,Academic,79 Waterman St,"Providence, Ri 02912",Building,41.826501,-71.402451
Sayleshall,100158,Sayles Hall,Academic,81 Waterman St,"Providence, Ri 02912",Building,41.826182,-71.402577
Scilib,100086,Sciences Library,Library,201 Thayer St,"Providence, Ri 02912",Building,41.826937,-71.400136
Sears,100181,Sears House: Wriston Quad,Dormitory,113 George St,"Providence, Ri 02912",Building,41.825252,-71.40171
Sharpehse,100210,Sharpe House,Academic,79 Brown St,"Providence, Ri 02912",House,41.828132,-71.4024
Sharperef,100276,Sharpe Refectory,Dining,144 Thayer St,"Providence, Ri 02912",Building,41.825088,-71.400812
Shipst026,100329,Ship St 026,Academic,26 Ship St,"Providence, Ri 02903",Building,41.819148,-71.408487
Shipst070,100035,Ship St 070,Academic,70 Ship St,"Providence, Ri 02903",Building,41.818812,-71.410248
Smillerhse,100268,Shirley Miller House,Academic,59 George St,"Providence, Ri 02912",House,41.825114,-71.403805
Sfrankhlsb,100114,Sidney E. Frank Hall Life Sciences,Academic,185 Meeting St,"Providence, Ri 02912",Building,41.82866,-71.401568
Slater,100060,Slater Hall,Dormitory,70 George St,"Providence, Ri 02912",Building,41.825748,-71.403832
Smith-Buon,100170,Smith-Buonanno Hall,Academic,95 Cushing St,"Providence, Ri 02912",Building,41.829585,-71.402764
Smain121,100228,South Main St 121,Academic,121 South Main St,"Providence, Ri 02912",Building,41.824191,-71.406991
Steinert,100153,Steinert Center,Academic,148 Power St,"Providence, Ri 02912",Building,41.823373,-71.396778
Roberthall,100333,Stephen Robert Hall,Academic,280 Brook St,"Providence, Ri 02912",Building,41.824247,-71.399071
Stimson002,100196,Stimson Ave 002,Academic,2 Stimson Ave,"Providence, Ri 02912",House,41.829747,-71.397944
Tfgreen,100241,T.F. Green Hall,StudentLife,7 Young Orchard St,"Providence, Ri 02912",Building,41.824437,-71.395847
Thayer135,100289,Thayer St 135,Academic,135 Thayer St,"Providence, Ri 02912",Building,41.824942,-71.400037
Thayer315,100051,Thayer St 315,Dormitory,315 Thayer St,"Providence, Ri 02912",Building,41.830639,-71.400659
Uhall,100182,University Hall,Admin,1 Prospect St,"Providence, Ri 02912",Building,41.826116,-71.403837
Uel,100211,Urban Environmental Lab,Academic,135 Angell St,"Providence, Ri 02912",House,41.827633,-71.40218
Vgquada,100036,Vartan Gregorian Quad A,Dormitory,103 Thayer St,"Providence, Ri 02912",Building,41.823527,-71.399336
Vgquadb,100061,Vartan Gregorian Quad B,Dormitory,101 Thayer St,"Providence, Ri 02912",Building,41.823319,-71.399814
Vern-Wool,100012,Verney-Woolley Hall: Pembroke Quad,Dining,204 Meeting St,"Providence, Ri 02912",Building,41.829797,-71.401402
Walterhall,100100,Walter Hall,Academic,80 Waterman St,"Providence, Ri 02912",House,41.827275,-71.402528
Water070,100125,Waterman St 070,Academic,70 Waterman St,"Providence, Ri 02912",House,41.827139,-71.403818
Water085,100274,Waterman St 085,Academic,85 Waterman St,"Providence, Ri 02912",Building,41.826887,-71.401909
Water094,100293,Waterman St 094,Academic,94 Waterman St,"Providence, Ri 02912",House,41.827366,-71.401461
Water131,100255,Waterman St 131,Academic,131 Waterman St,"Providence, Ri 02912",House,41.827315,-71.39814
Water133,100290,Waterman St 133,Academic,133 Waterman St,"Providence, Ri 02912",House,41.827325,-71.398006
Water137,100025,Waterman St 137,Academic,137 Waterman St,"Providence, Ri 02912",House,41.827123,-71.397786
Watsoncit,100073,Watson Center For Information Tech,Academic,115 Waterman St,"Providence, Ri 02912",Building,41.827021,-71.399532
Watsonins,100155,Watson Institute,Academic,111 Thayer St,"Providence, Ri 02912",Building,41.824343,-71.399886
Wayland,100088,Wayland House: Wriston Quad,Dormitory,31 Brown St,"Providence, Ri 02912",Building,41.824972,-71.402467
Westhse,100183,West House,Dormitory,91 Brown St,"Providence, Ri 02912",House,41.829102,-71.403164
Wilbour,100062,Wilbour Hall,Academic,2 Prospect St,"Providence, Ri 02912",House,41.825346,-71.404709
Woolleyhal,100126,Woolley Hall: Pembroke Quad,Dormitory,202 Meeting St,"Providence, Ri 02912",Building,41.829625,-71.401496
Yo002,100198,Young Orchard Ave 002,Dormitory,2 Young Orchard Ave,"Providence, Ri 02912",Building,41.824031,-71.39678
Yo004,100226,Young Orchard Ave 004,Dormitory,4 Young Orchard Ave,"Providence, Ri 02912",Building,41.824075,-71.396322
Yo010,100242,Young Orchard Ave 010,Dormitory,10 Young Orchard Ave,"Providence, Ri 02912",Building,41.824099,-71.395694
